Date,aker
2016-08-11,62.0
2016-08-12,70.0
2016-08-13,66.0
2016-08-14,71.0
2016-08-15,98.0
2016-08-16,82.0
2016-08-17,68.0
2016-08-18,63.0
2016-08-19,89.0
2016-08-20,59.0
2016-08-21,65.0
2016-08-22,78.0
2016-08-23,78.0
2016-08-24,81.0
2016-08-25,82.0
2016-08-26,66.0
2016-08-27,65.0
2016-08-28,62.0
2016-08-29,77.0
2016-08-30,75.0
2016-08-31,70.0
2016-09-01,75.0
2016-09-02,56.0
2016-09-03,63.0
2016-09-04,59.0
2016-09-05,75.0
2016-09-06,80.0
2016-09-07,71.0
2016-09-08,78.0
2016-09-09,70.0
2016-09-10,80.0
2016-09-11,60.0
2016-09-12,66.0
2016-09-13,50.0
2016-09-14,70.0
2016-09-15,83.0
2016-09-16,70.0
2016-09-17,47.0
2016-09-18,58.0
2016-09-19,63.0
2016-09-20,54.0
2016-09-21,56.0
2016-09-22,84.0
2016-09-23,71.0
2016-09-24,74.0
2016-09-25,50.0
2016-09-26,78.0
2016-09-27,67.0
2016-09-28,64.0
2016-09-29,77.0
2016-09-30,77.0
2016-10-01,59.0
2016-10-02,41.0
2016-10-03,57.0
2016-10-04,100.0
2016-10-05,61.0
2016-10-06,54.0
2016-10-07,77.0
2016-10-08,44.0
2016-10-09,49.0
2016-10-10,74.0
2016-10-11,67.0
2016-10-12,77.0
2016-10-13,57.0
2016-10-14,77.0
2016-10-15,76.0
2016-10-16,54.0
2016-10-17,69.0
2016-10-18,69.0
2016-10-19,73.0
2016-10-20,55.0
2016-10-21,86.0
2016-10-22,59.0
2016-10-23,59.0
2016-10-24,44.0
2016-10-25,77.0
2016-10-26,82.0
2016-10-27,71.0
2016-10-28,75.0
2016-10-29,57.0
2016-10-30,72.0
2016-10-31,65.0
2016-11-01,85.0
2016-11-02,85.0
2016-11-03,60.0
2016-11-04,61.0
2016-11-05,68.0
2016-11-06,63.0
2016-11-07,67.0
2016-11-08,
2016-11-09,
2016-11-10,
